runlist,algorithm_id,method,bit_rule,bit_allocator,contamination_id,contamination_mode,geometry_id,point_count,clean_point_count,seed,frame_estimator,refinement,sort_seconds,output_hash,bits_axis,robust_fallback_used,miad,m1_l1_locality,l1_locality,m1_l2_locality,l2_locality,recall_8_64,peak_rss_kb,block_read_mean,block_read_p95,cache_references,cache_misses,cache_miss_rate,perf_status,kendall_tau_clean,frame_angle_rad
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,0,none,off,2.3304e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.321296529497775,100.58850254103032,100.58850254103032,3.645743743979623e-06,3.645743743979623e-06,0.22314453125,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,1,none,off,2.3173e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.2695304944496995,121.98414100588131,121.98414100588131,1.3316536854720349e-06,1.3316536854720349e-06,0.2373046875,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,2,none,off,2.3454e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.191056493897793,277.95114914311165,277.95114914311165,2.3170352294515094e-06,2.3170352294515094e-06,0.23291015625,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,3,none,off,2.2923e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.191664710630127,127.79649170832855,127.79649170832855,2.5424879740335616e-06,2.5424879740335616e-06,0.2412109375,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,4,none,off,2.3154e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.1766400750339683,132.17664410306716,132.17664410306716,3.485260272989553e-06,3.485260272989553e-06,0.2275390625,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384,384,0,none,off,3.3633e-05,8386ce5f75893073a2aad46b8de8e6d6f0d2174507bd819f453b7917216d8e09,0 0 0,False,2.33137733422305,158.71622618346552,158.71622618346552,7.057777735779902e-07,7.057777735779902e-07,0.154296875,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384,384,1,none,off,3.3494e-05,8386ce5f75893073a2aad46b8de8e6d6f0d2174507bd819f453b7917216d8e09,0 0 0,False,2.249646159694912,121.98414100588131,121.98414100588131,1.3316536854720349e-06,1.3316536854720349e-06,0.16666666666666666,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384,384,2,none,off,3.3694e-05,8386ce5f75893073a2aad46b8de8e6d6f0d2174507bd819f453b7917216d8e09,0 0 0,False,2.2092331371634675,277.95114914311165,277.95114914311165,1.2594631471112273e-07,1.2594631471112273e-07,0.15006510416666666,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384,384,3,none,off,3.3895e-05,8386ce5f75893073a2aad46b8de8e6d6f0d2174507bd819f453b7917216d8e09,0 0 0,False,2.2177160351383978,127.79649170832855,127.79649170832855,8.968770539360115e-08,8.968770539360115e-08,0.15625,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384,384,4,none,off,3.3593e-05,8386ce5f75893073a2aad46b8de8e6d6f0d2174507bd819f453b7917216d8e09,0 0 0,False,2.1711227790401657,132.17664410306716,132.17664410306716,1.9818247397936697e-06,1.9818247397936697e-06,0.15625,,,,,,,,,
